date,tweet_body
2022-12-12 14:19:04+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:02+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:01+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:18:59+00:00,b'RT @DashDobrofsky: Ron DeSantis sent teachers to \xe2\x80\x9cCivics Training\xe2\x80\x9d camps in Florida where they learned how to \xe2\x80\x9cproperly teach\xe2\x80\x9d about slaver\xe2\x80\xa6'
2022-12-12 14:18:59+00:00,b'RT @lesleyabravanel: This is why Ron DeSantis is a danger to American Jewish people. Sorry to the tiny minority of oxymoronic Jewish Republ\xe2\x80\xa6'
2022-12-12 14:18:58+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:18:50+00:00,"b'RT @JHFonseca: # CASOS DE MIOCARDITE NA FL\xc3\x93RIDA AUMENTAM EM 86% ENTRE JOVENS DE 18 E 39 ANOS, AP\xc3\x93S A VACINA\xc3\x87\xc3\x83O COM mRNA (PFIZER E MODERNA).\xe2\x80\xa6'"
2022-12-12 14:18:49+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:18:45+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:18:42+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:18:41+00:00,b'@ChumsHmt @Ah_ah_ron @Helt5Helt @DeSantisFan2024 Boy that\xe2\x80\x99s a super clever retort.  Great work there champ.\n\nWake m\xe2\x80\xa6 https://t.co/crLg7V28IQ'
2022-12-12 14:18:38+00:00,"b""RT @thebradfordfile: Twitter should have listened to Rand Paul, Ron DeSantis, and Joe Rogan during covid. They pushed Fauci's lies instead."""
2022-12-12 14:18:36+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:18:35+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:18:34+00:00,"b""@ProjectLincoln It wasn't voter fraud it was severe gerrymandering in the entire State of Florida thanks to Ron DeSantis pen"""
