date,tweet_body
2022-12-12 01:44:06+00:00,"b'RT @NickAdamsinUSA: Donald Trump is the greatest President we have ever had, and that includes Ronald Reagan. https://t.co/d5VYUOZgxc'"
2022-12-12 01:44:06+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:06+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:44:05+00:00,"b'RT @SpiroAgnewGhost: Donald Trump is \xe2\x80\x9csort of crazy and filled with rage\xe2\x80\x9d &amp; cost his party 11 seats in Congress, Karl Rove told a downtown\xe2\x80\xa6'"
2022-12-12 01:44:03+00:00,b'RT @coleyshannon66: @jim_enloe @ShellenbergerMD The insurrection without weapons? The insurrection where the President said \xe2\x80\x9cpeacefully and\xe2\x80\xa6'
2022-12-12 01:44:03+00:00,"b'RT @itsJeffTiedrich: holy fucking shit, ""Donald Trump got banned from twitter after trying to overthrow his own government"" is not the expl\xe2\x80\xa6'"
2022-12-12 01:44:02+00:00,b'RT @jamiedupree: Donald Trump says he rejected a deal with Russia - while he was President - to free ex-Marine Paul Whelan. https://t.co/Vf\xe2\x80\xa6'
2022-12-12 01:44:01+00:00,b'Say no to Donald Trump https://t.co/xdmWRlScKh'
2022-12-12 01:44:00+00:00,"b'RT @MsKellyMHayes: Years ago, I wrote a piece for a major publication in which I attempted to refer to Donald Trump as a white supremacist.\xe2\x80\xa6'"
2022-12-12 01:43:54+00:00,"b'RT @paul_lander: Donald Trump\xe2\x80\x99s \xe2\x80\x98Truth Social\xe2\x80\x99 is $6MM in the red\nIt\xe2\x80\x99s like a Trump casino, only without the buffet.'"
2022-12-12 01:43:53+00:00,b'@OmarRiverosays Definitely Fauci. Musk is on my distrust list behind Lord Voldemort and Donald Trump but just ahead\xe2\x80\xa6 https://t.co/9qG6aJgY9B'
2022-12-12 01:43:52+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:43:52+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:43:52+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
